date,discharge,acc_flow_30d,acc_flow_60d,acc_flow_90d
1985-05-31,22700,740860.0,2239760.0,3896260.0
1985-06-01,10400,731860.0,2131160.0,3849060.0
1985-06-02,10700,707460.0,2005860.0,3799560.0
1985-06-03,33800,706760.0,1919660.0,3780260.0
1985-06-04,36100,698960.0,1859560.0,3772860.0
1985-06-05,29600,680560.0,1805560.0,3759560.0
1985-06-06,28900,670160.0,1762660.0,3745260.0
1985-06-07,25100,663260.0,1716860.0,3737560.0
1985-06-08,15100,645460.0,1661860.0,3725860.0
1985-06-09,15600,632560.0,1614860.0,3698860.0
1985-06-10,24300,640360.0,1580260.0,3678660.0
1985-06-11,16900,645860.0,1540360.0,3643160.0
1985-06-12,17300,634460.0,1519860.0,3599860.0
1985-06-13,17000,621560.0,1509660.0,3535760.0
1985-06-14,14000,610560.0,1480360.0,3458860.0
1985-06-15,4860,595920.0,1444120.0,3384520.0
1985-06-16,4910,578930.0,1406430.0,3320230.0
1985-06-17,26000,587930.0,1401430.0,3282630.0
1985-06-18,24300,599130.0,1391230.0,3254330.0
1985-06-19,17800,585330.0,1377930.0,3224230.0
1985-06-20,18400,576130.0,1384130.0,3198430.0
1985-06-21,20500,572130.0,1374930.0,3186530.0
1985-06-22,4900,553530.0,1352730.0,3170030.0
1985-06-23,4950,533480.0,1328480.0,3120880.0
1985-06-24,20400,540280.0,1314680.0,3084380.0
1985-06-25,13200,541180.0,1297880.0,3037680.0
1985-06-26,14700,548220.0,1289980.0,2989680.0
1985-06-27,16300,544120.0,1292180.0,2945680.0
1985-06-28,10400,538620.0,1276780.0,2894980.0
1985-06-29,5040,524160.0,1260320.0,2824920.0
1985-06-30,5010,506470.0,1247330.0,2746230.0
1985-07-01,11700,507770.0,1239630.0,2638930.0
1985-07-02,17200,514270.0,1221730.0,2520130.0
1985-07-03,8870,489340.0,1196100.0,2409000.0
1985-07-04,5370,458610.0,1157570.0,2318170.0
1985-07-05,10000,439010.0,1119570.0,2244570.0
1985-07-06,5870,415980.0,1086140.0,2178640.0
1985-07-07,5920,396800.0,1060060.0,2113660.0
1985-07-08,7180,388880.0,1034340.0,2050740.0
1985-07-09,13100,386380.0,1018940.0,2001240.0
1985-07-10,9170,371250.0,1011610.0,1951510.0
1985-07-11,14400,368750.0,1014610.0,1909110.0
1985-07-12,7670,359120.0,993580.0,1878980.0
1985-07-13,7280,349400.0,970960.0,1859060.0
1985-07-14,5710,341110.0,951670.0,1821470.0
1985-07-15,22100,358350.0,954270.0,1802470.0
1985-07-16,17600,371040.0,949970.0,1777470.0
1985-07-17,15200,360240.0,948170.0,1761670.0
1985-07-18,12700,348640.0,947770.0,1739870.0
1985-07-19,11700,342540.0,927870.0,1720470.0
1985-07-20,4880,329020.0,905150.0,1713150.0
1985-07-21,5020,313540.0,885670.0,1688470.0
1985-07-22,14200,322840.0,876370.0,1675570.0
1985-07-23,13200,331090.0,864570.0,1659570.0
1985-07-24,8010,318700.0,858980.0,1633380.0
1985-07-25,11000,316500.0,857680.0,1614380.0
1985-07-26,9010,310810.0,859030.0,1600790.0
1985-07-27,12000,306510.0,850630.0,1598690.0
1985-07-28,5230,301340.0,839960.0,1578120.0
1985-07-29,15700,312000.0,836160.0,1572320.0
1985-07-30,13500,320490.0,826960.0,1567820.0
1985-07-31,11300,320090.0,827860.0,1559720.0
1985-08-01,8670,311560.0,825830.0,1533290.0
1985-08-02,15900,318590.0,807930.0,1514690.0
1985-08-03,5030,318250.0,776860.0,1475820.0
1985-08-04,5070,313320.0,752330.0,1432890.0
1985-08-05,15400,322850.0,738830.0,1408990.0
1985-08-06,9270,326200.0,723000.0,1386260.0
1985-08-07,5200,324220.0,713100.0,1358560.0
1985-08-08,10700,321820.0,708200.0,1340760.0
1985-08-09,14000,326650.0,697900.0,1338260.0
1985-08-10,5090,317340.0,686090.0,1331950.0
1985-08-11,5400,315070.0,674190.0,1308650.0
1985-08-12,9480,317270.0,666670.0,1288230.0
1985-08-13,10200,321760.0,662870.0,1273430.0
1985-08-14,9330,308990.0,667340.0,1263260.0
1985-08-15,8000,299390.0,670430.0,1249360.0
1985-08-16,8360,292550.0,652790.0,1240720.0
1985-08-17,5090,284940.0,633580.0,1232710.0
1985-08-18,5660,278900.0,621440.0,1206770.0
1985-08-19,5660,279680.0,608700.0,1184830.0
1985-08-20,5610,280270.0,593810.0,1165940.0
1985-08-21,6010,272080.0,594920.0,1148450.0
1985-08-22,6790,265670.0,596760.0,1130240.0
1985-08-23,7670,265330.0,584030.0,1124310.0
1985-08-24,5150,259480.0,575980.0,1117160.0
1985-08-25,5170,255640.0,566450.0,1114670.0
1985-08-26,5910,249550.0,556060.0,1100180.0
1985-08-27,6830,251150.0,552490.0,1091110.0
1985-08-28,7810,243260.0,555260.0,1079420.0
1985-08-29,8720,238480.0,558970.0,1065440.0
1985-08-30,8430,235610.0,555700.0,1063470.0
1985-08-31,4900,231840.0,543400.0,1057670.0
1985-09-01,5250,221190.0,539780.0,1029120.0
1985-09-02,5020,221180.0,539430.0,998040.0
1985-09-03,14900,231010.0,544330.0,983340.0
1985-09-04,13000,228610.0,551460.0,967440.0
1985-09-05,11200,230540.0,556740.0,953540.0
1985-09-06,7800,233140.0,557360.0,946240.0
1985-09-07,5200,227640.0,549460.0,935840.0
1985-09-08,5540,219180.0,545830.0,917080.0
1985-09-09,6120,220210.0,537550.0,906300.0
1985-09-10,7220,222030.0,537100.0,896220.0
1985-09-11,12000,224550.0,541820.0,891220.0
1985-09-12,14200,228550.0,550310.0,891420.0
1985-09-13,6350,225570.0,534560.0,892910.0
1985-09-14,5310,222880.0,522270.0,893310.0
1985-09-15,5200,219720.0,512270.0,872510.0
1985-09-16,12300,226930.0,511870.0,860510.0
1985-09-17,12800,234070.0,512970.0,855510.0
