#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 06 11 00   5  2.8  3.3 99.00 99.00 99.00 999 1030.2  -5.5   4.6  -6.8 99.0 99.00
2015 01 06 12 00  71  2.4  2.9 99.00 99.00 99.00 999 1029.1  -5.0   4.7  -6.6 99.0 99.00
2015 01 06 13 00 122  5.0  5.6 99.00 99.00 99.00 999 1029.5  -5.1   4.2  -6.6 99.0 99.00
2015 01 06 14 00 112  4.8  6.1 99.00 99.00 99.00 999 1029.6  -5.1   4.2  -6.3 99.0 99.00
2015 01 06 15 00 122  6.2  6.8 99.00 99.00 99.00 999 1028.1  -4.9   4.2  -6.2 99.0 99.00
2015 01 06 16 00 138  5.4  7.3 99.00 99.00 99.00 999 1025.9  -4.5   4.2  -7.5 99.0 99.00
2015 01 06 17 00 128  5.1  6.1 99.00 99.00 99.00 999 1023.6  -4.2   4.2  -7.3 99.0 99.00
2015 01 06 18 00 167  3.0  3.6 99.00 99.00 99.00 999 1022.6  -3.6   4.3  -7.9 99.0 99.00
2015 01 06 19 00 109  0.4  0.7 99.00 99.00 99.00 999 1022.0  -3.0   4.5  -8.1 99.0 99.00
2015 01 06 20 00  33  0.7  1.6 99.00 99.00 99.00 999 1022.0  -2.8   4.6  -7.3 99.0 99.00
2015 01 06 21 00 324  1.4  1.9 99.00 99.00 99.00 999 1022.1  -2.4   4.6  -6.7 99.0 99.00
2015 01 06 22 00 280  3.2  3.7 99.00 99.00 99.00 999 1022.0  -2.0   4.6  -6.1 99.0 99.00
2015 01 06 23 00 278  3.6  4.2 99.00 99.00 99.00 999 1022.3  -1.9   4.6  -5.9 99.0 99.00
2015 01 07 00 00 271  2.6  3.4 99.00 99.00 99.00 999 1022.3  -1.9   4.6  -5.9 99.0 99.00
2015 01 07 01 00 279  3.5  4.0 99.00 99.00 99.00 999 1022.7  -2.0   4.3  -6.0 99.0 99.00
2015 01 07 02 00 312  3.6  4.7 99.00 99.00 99.00 999 1021.9  -1.9   4.3  -6.3 99.0 99.00
2015 01 07 03 00 341  6.2  7.5 99.00 99.00 99.00 999 1020.9  -2.3   4.2  -7.5 99.0 99.00
2015 01 07 04 00 322  5.9  6.4 99.00 99.00 99.00 999 1020.9  -2.2   4.2  -9.0 99.0 99.00
2015 01 07 05 00 327  5.7  6.6 99.00 99.00 99.00 999 1020.4  -2.5   4.1  -9.4 99.0 99.00
2015 01 07 06 00 309  5.1  6.0 99.00 99.00 99.00 999 1020.0  -2.5   4.0  -9.4 99.0 99.00
2015 01 07 07 00 305  4.1  4.6 99.00 99.00 99.00 999 1019.7  -2.9   4.1  -9.6 99.0 99.00
2015 01 07 08 00 277  4.8  6.0 99.00 99.00 99.00 999 1019.1  -2.7   4.1  -9.9 99.0 99.00
2015 01 07 09 00 249  5.4  6.0 99.00 99.00 99.00 999 1018.5  -2.7   4.2  -8.3 99.0 99.00
2015 01 07 10 00 241  5.5  6.0 99.00 99.00 99.00 999 1018.2  -2.6   4.3  -7.3 99.0 99.00
2015 01 07 11 00 235  6.5  7.3 99.00 99.00 99.00 999 1017.6  -2.6   4.3  -6.6 99.0 99.00
2015 01 07 12 00 276  4.4  5.0 99.00 99.00 99.00 999 1018.2  -3.7   4.3  -6.8 99.0 99.00
2015 01 07 13 00 311  8.3  9.7 99.00 99.00 99.00 999 1019.1  -3.2   4.2 -10.7 99.0 99.00
2015 01 07 14 00 321 13.4 14.5 99.00 99.00 99.00 999 1020.0  -4.2   4.3 -12.0 99.0 99.00
2015 01 07 15 00 306  9.9 12.5 99.00 99.00 99.00 999 1021.1  -4.3   3.7 -15.5 99.0 99.00
