YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 05 15   7  5.9  6.3 99.00 99.00 99.00 999 1011.6   4.3   5.0   4.2 99.0 99.00
2004 01 05 16 335  4.9  5.3 99.00 99.00 99.00 999 1011.5   4.5   4.9   4.4 99.0 99.00
2004 01 05 17 125  3.9  4.4 99.00 99.00 99.00 999 1007.9   4.5   4.9   4.4 99.0 99.00
2004 01 05 18 336  2.2  2.5 99.00 99.00 99.00 999 1008.7   4.8   5.0   4.6 99.0 99.00
2004 01 05 19  14  1.7  1.8 99.00 99.00 99.00 999 1008.8   5.2   5.2   5.0 99.0 99.00
2004 01 05 20   9  3.6  3.8 99.00 99.00 99.00 999 1009.4   4.8   5.2   4.7 99.0 99.00
2004 01 05 21  29  3.1  3.6 99.00 99.00 99.00 999 1009.8   5.3   5.3   5.2 99.0 99.00
2004 01 05 22 356  4.1  4.1 99.00 99.00 99.00 999 1010.7   5.5   5.2   5.4 99.0 99.00
2004 01 05 23   0  2.7  2.8 99.00 99.00 99.00 999 1011.6   5.8   5.1   5.7 99.0 99.00
2004 01 06 00 356  3.1  3.1 99.00 99.00 99.00 999 1012.6   6.1   5.2   5.9 99.0 99.00
2004 01 06 01   4  3.2  3.2 99.00 99.00 99.00 999 1013.3   6.2   5.2   6.1 99.0 99.00
2004 01 06 02 328  5.1  5.6 99.00 99.00 99.00 999 1014.2   7.6   5.0   4.2 99.0 99.00
2004 01 06 03 311  8.0 10.0 99.00 99.00 99.00 999 1014.4   7.2   5.0   0.1 99.0 99.00
2004 01 06 04 317 11.0 13.4 99.00 99.00 99.00 999 1015.1   6.5   5.0  -0.8 99.0 99.00
2004 01 06 05 312  9.4 10.9 99.00 99.00 99.00 999 1016.2   5.4   5.0  -2.1 99.0 99.00
2004 01 06 06 316  8.6  9.9 99.00 99.00 99.00 999 1017.2   5.1   5.0  -2.0 99.0 99.00
2004 01 06 07 326  6.7  7.9 99.00 99.00 99.00 999 1018.6   4.6   5.0  -2.4 99.0 99.00
2004 01 06 08 305 10.0 11.3 99.00 99.00 99.00 999 1018.7   4.5   5.0  -3.8 99.0 99.00
2004 01 06 09 308  6.0  6.6 99.00 99.00 99.00 999 1019.4   4.3   5.0  -4.1 99.0 99.00
2004 01 06 10 300  6.5  7.2 99.00 99.00 99.00 999 1019.4   4.2   4.9  -3.7 99.0 99.00
2004 01 06 11 309 10.5 11.5 99.00 99.00 99.00 999 1019.6   3.8   4.8  -4.2 99.0 99.00
2004 01 06 12 307  6.8  7.7 99.00 99.00 99.00 999 1020.2   3.4   4.8  -5.0 99.0 99.00
2004 01 06 13 303  3.9  4.7 99.00 99.00 99.00 999 1021.0   3.1   4.8  -5.3 99.0 99.00
2004 01 06 14 294  6.9  8.2 99.00 99.00 99.00 999 1021.7   3.2   4.7  -5.4 99.0 99.00
