#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 01 00 314  8.5 10.0 99.00 99.00 99.00 999 1012.3  -1.3   1.7  -8.7 99.0 99.00
2010 01 05 02 00 305  9.4 10.7 99.00 99.00 99.00 999 1012.2  -1.7   1.6  -8.7 99.0 99.00
2010 01 05 03 00 291  9.9 11.6 99.00 99.00 99.00 999 1012.2  -2.0   1.5  -8.9 99.0 99.00
2010 01 05 04 00 301  8.7  9.6 99.00 99.00 99.00 999 1011.9  -2.0   1.0  -8.7 99.0 99.00
2010 01 05 05 00 300  7.5  8.5 99.00 99.00 99.00 999 1011.6  -2.1   1.0  -8.5 99.0 99.00
2010 01 05 06 00 286  6.7  7.9 99.00 99.00 99.00 999 1011.4  -2.0   1.1  -7.6 99.0 99.00
2010 01 05 07 00 304  7.4  9.3 99.00 99.00 99.00 999 1011.5  -2.1   1.2  -7.8 99.0 99.00
2010 01 05 08 00 309  7.1  8.9 99.00 99.00 99.00 999 1012.0  -2.3   1.1  -7.9 99.0 99.00
2010 01 05 09 00 309  6.5  7.9 99.00 99.00 99.00 999 1011.8  -2.5   1.1  -7.5 99.0 99.00
2010 01 05 10 00 311  7.6  8.6 99.00 99.00 99.00 999 1011.8  -2.9   1.1  -6.3 99.0 99.00
2010 01 05 11 00 318  6.5  7.9 99.00 99.00 99.00 999 1012.1  -2.9   1.2  -6.9 99.0 99.00
2010 01 05 12 00 320  6.0  6.9 99.00 99.00 99.00 999 1012.5  -3.0   1.4  -7.0 99.0 99.00
2010 01 05 13 00 316  5.6  6.8 99.00 99.00 99.00 999 1012.7  -3.2   1.2  -8.9 99.0 99.00
2010 01 05 14 00 319  6.7  7.9 99.00 99.00 99.00 999 1012.7  -2.9   1.4  -8.7 99.0 99.00
2010 01 05 15 00 307  7.7  8.6 99.00 99.00 99.00 999 1012.6  -2.2   1.7  -8.8 99.0 99.00
2010 01 05 16 00 300  8.8  9.5 99.00 99.00 99.00 999 1012.0  -1.6   1.8  -8.6 99.0 99.00
2010 01 05 17 00 304  8.9 10.0 99.00 99.00 99.00 999 1011.1  -0.9   1.2  -8.3 99.0 99.00
2010 01 05 18 00 301  8.8 10.0 99.00 99.00 99.00 999 1010.3   0.0   1.3  -7.5 99.0 99.00
2010 01 05 19 00 300 10.2 11.2 99.00 99.00 99.00 999 1009.8   0.0   1.4  -7.9 99.0 99.00
2010 01 05 20 00 303  7.2  8.2 99.00 99.00 99.00 999 1009.9   0.6   1.5  -7.3 99.0 99.00
2010 01 05 21 00 299  8.3  9.2 99.00 99.00 99.00 999 1010.1   0.6   1.3  -7.5 99.0 99.00
2010 01 05 22 00 308 10.7 13.3 99.00 99.00 99.00 999 1010.2   0.5   1.4  -7.6 99.0 99.00
2010 01 05 23 00 304  9.0 10.1 99.00 99.00 99.00 999 1010.8   0.2   1.3  -7.4 99.0 99.00
2010 01 06 00 00 301  9.0 10.3 99.00 99.00 99.00 999 1011.1   0.0   1.5  -8.0 99.0 99.00
2010 01 06 01 00 299  7.5  8.7 99.00 99.00 99.00 999 1011.4  -0.5   1.5  -7.8 99.0 99.00
2010 01 06 02 00 283  6.6  7.6 99.00 99.00 99.00 999 1011.5  -0.9   1.5  -8.0 99.0 99.00
2010 01 06 03 00 306  8.5  9.5 99.00 99.00 99.00 999 1011.5  -1.0   1.5  -7.3 99.0 99.00
2010 01 06 04 00 300  7.5  8.2 99.00 99.00 99.00 999 1011.5  -1.0   1.4  -7.2 99.0 99.00
2010 01 06 05 00 295  8.5  9.4 99.00 99.00 99.00 999 1011.3  -0.9   1.2  -7.6 99.0 99.00
2010 01 06 06 00 297  8.5 10.2 99.00 99.00 99.00 999 1011.0  -1.1   1.2  -7.8 99.0 99.00
2010 01 06 07 00 300  8.8  9.5 99.00 99.00 99.00 999 1011.1  -1.2   1.3  -7.6 99.0 99.00
2010 01 06 08 00 308  9.2 11.3 99.00 99.00 99.00 999 1011.1  -1.2   1.3  -7.5 99.0 99.00
2010 01 06 09 00 302  7.3  9.0 99.00 99.00 99.00 999 1011.1  -1.2   1.2  -7.1 99.0 99.00
2010 01 06 10 00 309  9.5 10.6 99.00 99.00 99.00 999 1010.8  -1.4   1.3  -7.6 99.0 99.00
2010 01 06 11 00 293  9.6 10.7 99.00 99.00 99.00 999 1011.1  -1.3   1.3  -7.1 99.0 99.00
2010 01 06 12 00 301  8.5  9.9 99.00 99.00 99.00 999 1011.4  -1.2   1.3  -6.8 99.0 99.00
2010 01 06 13 00 300  7.2  8.2 99.00 99.00 99.00 999 1011.8  -0.9   1.0  -6.7 99.0 99.00
2010 01 06 14 00 305  8.5 10.3 99.00 99.00 99.00 999 1012.2  -0.5   1.4  -6.6 99.0 99.00
2010 01 06 15 00 302  8.2  9.8 99.00 99.00 99.00 999 1012.4   0.0   1.3  -6.1 99.0 99.00
2010 01 06 16 00 307  8.8 10.1 99.00 99.00 99.00 999 1012.2   0.3   1.5  -6.1 99.0 99.00
2010 01 06 17 00 326 12.0 13.8 99.00 99.00 99.00 999 1011.5   0.9   1.5  -6.1 99.0 99.00
2010 01 06 18 00 327 12.3 14.4 99.00 99.00 99.00 999 1011.0   1.4   1.1  -6.1 99.0 99.00
2010 01 06 19 00 315  9.5 10.7 99.00 99.00 99.00 999 1010.9   1.9   1.4  -5.2 99.0 99.00
2010 01 06 20 00 309  9.5 11.1 99.00 99.00 99.00 999 1011.2   2.0   1.5  -4.9 99.0 99.00
2010 01 06 21 00 313 10.2 12.0 99.00 99.00 99.00 999 1011.8   2.3   1.8  -5.4 99.0 99.00
2010 01 06 22 00 308 11.0 12.5 99.00 99.00 99.00 999 1012.4   1.7   1.6  -5.7 99.0 99.00
2010 01 06 23 00 306  9.0 10.6 99.00 99.00 99.00 999 1013.2   1.2   1.7  -5.6 99.0 99.00
2010 01 07 00 00 310  7.5  8.9 99.00 99.00 99.00 999 1014.2   0.7   1.7  -5.6 99.0 99.00
2010 01 07 01 00 310  6.8  8.9 99.00 99.00 99.00 999 1014.3   0.3   1.5  -5.9 99.0 99.00
2010 01 07 02 00 300  6.9  7.5 99.00 99.00 99.00 999 1014.6   0.1   1.3  -6.1 99.0 99.00
2010 01 07 03 00 301  6.5  7.8 99.00 99.00 99.00 999 1015.0   0.0   1.4  -5.6 99.0 99.00
2010 01 07 04 00 294  5.9  6.7 99.00 99.00 99.00 999 1015.1  -0.2   1.6  -5.8 99.0 99.00
2010 01 07 05 00 310  5.1  6.0 99.00 99.00 99.00 999 1015.0  -0.4   1.5  -5.3 99.0 99.00
2010 01 07 06 00 306  5.8  6.4 99.00 99.00 99.00 999 1015.3  -0.6   1.0  -5.2 99.0 99.00
2010 01 07 07 00 300  6.7  7.7 99.00 99.00 99.00 999 1015.7  -0.7   0.9  -5.3 99.0 99.00
